name,radius,length,OD start,OD end
1-01,54.387449,2.195453,60,100
1-02,8.696285,2.627074,100,140
1-03,4.768635,2.984446,140,180
1-04,8.39372,2.706447,180,219
1-05,43.318361,2.586772,219,250
1-06,16.345658,5.608057,250,260
1-07,12.878962,7.610297,260,219
1-08,14.553174,2.392031,219,219
1-09,27.384676,2.704979,219,219
1-10,8.944893,2.195748,219,219
1-11,4.834287,1.6076,219,219
1-12,2.690418,2.199227,219,219
1-13,6.154535,1.801353,219,219
1-14,6.901054,1.901495,200,219
1-15,10.83655,3.288838,219,250
1-16,1.407326,1.501492,250,219
1-17,34.102669,3.897883,260,240
1-18,9.07597,2.706672,240,219
1-19,1.707925,2.193776,219,219
1-20,4.464356,1.738923,219,219
1-21,20.802735,1.199463,230,230
1-22,1.817225,2.672771,230,219
1-23,6.082985,5.397066,219,219
1-24,11.185831,1.900825,219,219
1-25,14.501681,3.881045,219,219
1-26,1.776699,1.806803,219,219
1-27,11.511201,3.492684,219,219
1-28,25.158214,8.711072,219,219
1-29,10.76435,4.183999,219,219
1-30,3.471875,3.059989,219,219
1-31,14.407629,3.493642,60,120
1-32,5.172499,1.704712,120,140
1-33,4.276318,3.693918,140,190
1-34,22.769997,4.398948,190,240
1-35,83.916984,2.31022,240,260
1-36,12.353033,2.798972,150,100
1-37,15.54524,2.48143,100,60
1-38,8.275831,1.399045,120,130
1-39,4.6615,1.649231,130,160
1-40,5.661558,1.69934,160,180
1-41,10.611221,2.830794,180,210
1-42,4.596663,1.688577,130,160
1-43,9.346835,1.806253,260,260
1-44,14.635797,3.190344,260,260
1-45,17.021815,3.711972,260,230
1-46,6.079755,3.890668,230,180
1-47,6.108381,4.193027,180,110
1-48,15.465025,3.270554,110,60
1-49,25.588882,3.600369,260,230
1-50,10.37949,3.097967,230,190
1-51,6.264642,4.401202,190,120
1-52,10.769064,3.717625,120,60
1-53,4.034543,2.509027,160,190
1-54,5.080274,2.026985,100,130
1-55,4.762838,1.432917,219,219

