name,radius,length,OD start,OD end
3-34,6.975169,3.603031,160,90
3-01,21.980466,1.600334,60,80
3-02,20.67168,3.095988,80,140
3-03,4.429684,2.803557,140,180
3-04,15.308473,4.124083,180,240
3-05,12.523826,1.08438,240,250
3-06,34.796258,8.004008,250,240
3-07,18.551431,4.69827,240,219
3-08,22.448105,3.20033,219,219
3-09,17.047683,6.401456,219,219
3-10,13.742563,4.592673,219,219
3-11,11.769354,2.014684,219,219
3-12,12.152079,4.697378,219,219
3-13,9.075347,3.096527,219,219
3-14,3.395784,2.223897,219,219
3-15,13.496196,2.603866,260,260
3-16,3.649262,2.301237,260,260
3-17,3.733266,1.547332,260,219
3-18,4.570432,1.695294,260,260
3-19,4.405034,4.122203,260,219
3-20,5.126479,1.699744,219,219
3-21,2.75523,1.980621,219,219
3-22,3.271964,1.700673,219,219
3-23,2.503761,1.782686,219,219
3-24,6.876262,1.700351,219,219
3-25,2.962843,1.80055,219,219
3-26,6.048511,2.264135,219,219
3-27,5.465759,2.198478,219,219
3-28,3.24538,1.704336,219,219
3-29,5.23498,2.010716,219,219
3-30,4.860271,4.100925,219,219
3-31,10.392711,1.501219,219,219
3-32,3.19374,2.329871,219,219
3-33,15.642234,2.699633,200,160
3-35,13.719153,2.273034,90,60
3-36,20.305305,2.299632,130,100
3-37,14.992638,2.261939,100,60
3-38,26.210574,1.491161,219,219
3-39,12.716788,5.595607,219,260
3-40,20.746947,3.203331,260,260
3-41,10.76974,3.10408,260,240
3-42,10.077855,4.49362,240,170
3-43,7.564329,2.257511,170,130
