name,radius,length,OD start,OD end
4-32,19.174532,6.6138,190,260
4-01,1.816658,2.84668,219,219
4-02,44.216107,5.156154,219,219
4-03,168.405424,6.501552,219,219
4-04,21.105378,3.891842,219,219
4-05,17.463339,6.000531,219,219
4-06,20.194983,5.500096,219,219
4-07,13.298748,2.501841,219,219
4-08,20.714752,5.50225,219,250
4-09,20.881622,4.000182,250,260
4-10,18.41246,4.501664,260,210
4-11,7.46203,2.505998,210,170
4-12,25.248496,3.388123,170,110
4-13,2.015098,1.401455,219,219
4-14,3.01813,2.400418,219,219
4-15,9.790489,1.514424,219,219
4-16,2.90449,2.506194,219,219
4-17,2.362896,1.267911,219,219
4-18,3.586156,1.500028,219,219
4-19,2.351176,1.20115,219,219
4-20,4.902924,1.513629,219,219
4-21,3.694909,1.301709,219,219
4-22,2.519117,1.498015,219,219
4-23,3.861329,1.528102,219,219
4-24,1.900325,2.465623,219,219
4-25,4.962814,1.302851,219,219
4-26,28.746397,2.368702,219,219
4-27,2.58733,3.220569,219,219
4-28,5.733661,1.505139,219,219
4-29,16.744084,2.227677,219,240
4-30,1.945546,3.211904,219,219
4-31,9.513642,2.573252,219,240
4-33,29.383626,3.278586,110,60
