ID,Longitude,Latitude,ag30,F030,Tcs30,ag50,F050,Tcs50,ag72,F072,Tcs72,ag101,F0101,Tcs101,ag140,F0140,Tcs140,ag201,F0201,Tcs201,ag475,F0475,Tcs475,ag975,F0975,Tcs975,ag2475,F02475,Tcs2475
31000,15.55392,41.31635,0.045214,2.4465,0.28826,0.056553,2.554,0.32155,0.06734,2.5471,0.33973,0.078085,2.5847,0.35994,0.089915,2.5915,0.375,0.10755,2.4873,0.42586,0.15285,2.5702,0.43078,0.20543,2.533,0.44088,0.30332,2.4595,0.44525
31001,15.62046,41.31512,0.044626,2.4678,0.28721,0.055992,2.5567,0.32076,0.06724,2.541,0.33802,0.07758,2.5791,0.36117,0.089324,2.5895,0.37612,0.10704,2.4918,0.42388,0.15257,2.5651,0.42899,0.20567,2.5249,0.43867,0.30501,2.4481,0.44326
31002,15.68699,41.31385,0.044079,2.487,0.28469,0.055479,2.5605,0.31954,0.06674,2.5428,0.33717,0.07711,2.5739,0.36172,0.089198,2.5748,0.37558,0.10663,2.4933,0.42112,0.15247,2.5596,0.42679,0.20619,2.5167,0.43603,0.30697,2.4372,0.44164
31003,15.75353,41.31255,0.043539,2.5038,0.28294,0.054978,2.563,0.31863,0.06624,2.5418,0.33721,0.076644,2.5681,0.36113,0.089297,2.5539,0.37463,0.10626,2.4982,0.41732,0.15246,2.5533,0.42429,0.20685,2.5081,0.43331,0.30908,2.427,0.44003
31004,15.82006,41.31121,0.042972,2.5175,0.28121,0.054458,2.5629,0.31794,0.06569,2.5409,0.33674,0.076137,2.5621,0.35961,0.089207,2.5377,0.3731,0.10588,2.4992,0.41369,0.15249,2.5465,0.42157,0.2076,2.4993,0.43038,0.31126,2.4174,0.43795
31005,15.88658,41.30983,0.042357,2.5279,0.27976,0.053972,2.5735,0.2998,0.06506,2.54,0.33539,0.07558,2.5562,0.35716,0.088793,2.5298,0.37087,0.10545,2.4968,0.41012,0.15253,2.539,0.41816,0.20838,2.4906,0.42714,0.31346,2.4082,0.43541
31006,15.95312,41.3084,0.041686,2.5385,0.27794,0.053487,2.5652,0.29901,0.06437,2.5381,0.33344,0.07497,2.5507,0.35427,0.08799,2.5308,0.36807,0.10494,2.4918,0.40668,0.15254,2.5311,0.41389,0.20918,2.4817,0.42362,0.31569,2.3987,0.43292
31007,16.01965,41.30695,0.040932,2.5487,0.27592,0.052865,2.56,0.29797,0.06358,2.5376,0.33078,0.07427,2.5446,0.35057,0.08684,2.5387,0.36491,0.1043,2.4847,0.40349,0.15245,2.5234,0.40925,0.2099,2.473,0.4198,0.31789,2.3891,0.43049
31008,16.08615,41.30545,0.040063,2.5549,0.27392,0.052069,2.5589,0.29642,0.06267,2.5356,0.32803,0.073453,2.5386,0.34591,0.085319,2.5525,0.36178,0.10347,2.5391,0.36723,0.15215,2.5157,0.40454,0.21046,2.4642,0.41584,0.32,2.3793,0.4278
31009,16.15268,41.30391,0.039353,2.5425,0.27214,0.051049,2.5606,0.29479,0.06161,2.5338,0.32475,0.072493,2.5318,0.34079,0.08383,2.5596,0.35908,0.10237,2.524,0.36471,0.15154,2.5734,0.36746,0.21068,2.4548,0.41146,0.32198,2.3679,0.42473
31010,16.21921,41.30233,0.038541,2.5296,0.27034,0.049685,2.5684,0.29326,0.06032,2.5331,0.32254,0.071296,2.5264,0.33765,0.082419,2.5529,0.35462,0.10085,2.5046,0.36328,0.15035,2.5679,0.36422,0.21017,2.4453,0.40686,0.32322,2.3556,0.42139
31011,16.28571,41.30071,0.03757,2.5258,0.26663,0.048295,2.5616,0.29316,0.059,2.5192,0.3212,0.069678,2.5226,0.33436,0.080462,2.5471,0.34953,0.098381,2.4948,0.36169,0.14808,2.5655,0.36103,0.20814,2.4376,0.40266,0.32257,2.3431,0.4178
